Date,Product,Category,Brand,Quantity,Price_per_Unit,Discount (%),Total_Sales,Customer_Age,Customer_Gender,Payment_Method,City,State,Country,Customer_Rating,Delivery_Time (Days)
2023-01-01,Headphones,Accessories,Dell,4,329,24,35270,51,Male,Cash,New York,AZ,USA,3,1
2023-01-02,Headphones,Accessories,Dell,12,184,24,8651,64,Female,Debit Card,Houston,TX,USA,5,2
2023-01-03,Smartwatch,Accessories,Apple,7,1285,0,48938,36,Male,Credit Card,New York,NY,USA,4,5
2023-01-04,Headphones,Wearables,Sony,2,496,16,39522,48,Male,Cash,Houston,CA,USA,4,8
2023-01-05,Laptop,Accessories,HP,17,1494,16,10973,33,Female,Credit Card,Chicago,CA,USA,2,8
2023-01-06,Laptop,Electronics,Apple,1,1686,0,15803,62,Female,Credit Card,Los Angeles,IL,USA,5,4
2023-01-07,Phone,Accessories,Lenovo,14,314,24,19995,44,Female,Credit Card,New York,IL,USA,4,7
2023-01-08,Phone,Accessories,Sony,1,1124,0,22125,43,Male,Debit Card,Chicago,IL,USA,2,7
2023-01-09,Phone,Electronics,Apple,3,476,22,14261,56,Female,Cash,Chicago,CA,USA,3,9
2023-01-10,Laptop,Electronics,Samsung,11,511,21,9418,46,Male,Debit Card,New York,TX,USA,5,9
2023-01-11,Phone,Electronics,Lenovo,7,1758,8,35099,56,Female,Debit Card,Phoenix,NY,USA,3,3
2023-01-12,Phone,Electronics,Lenovo,9,899,26,2321,61,Male,PayPal,Phoenix,IL,USA,2,8
2023-01-13,Laptop,Accessories,Dell,3,1323,24,35084,62,Female,Cash,Houston,CA,USA,5,5
2023-01-14,Smartwatch,Electronics,Samsung,1,1306,3,49146,46,Female,PayPal,Chicago,TX,USA,1,5
2023-01-15,Headphones,Wearables,Samsung,19,509,8,49743,62,Male,Credit Card,Los Angeles,IL,USA,1,8
2023-01-16,Tablet,Accessories,Lenovo,2,1521,13,36700,63,Female,Cash,Los Angeles,IL,USA,1,6
2023-01-17,Laptop,Wearables,HP,5,315,14,18853,64,Female,Cash,Chicago,NY,USA,4,1
2023-01-18,Laptop,Accessories,Sony,17,851,15,48750,48,Female,Debit Card,Phoenix,NY,USA,1,4
2023-01-19,Tablet,Accessories,Dell,19,448,15,19268,19,Female,Credit Card,Chicago,AZ,USA,4,9
2023-01-20,Tablet,Wearables,Samsung,5,1703,12,36947,23,Male,Debit Card,Houston,IL,USA,4,5
2023-01-21,Phone,Electronics,Dell,14,930,13,29684,26,Male,PayPal,Chicago,AZ,USA,2,4
2023-01-22,Tablet,Electronics,Lenovo,10,1717,21,17311,32,Male,Credit Card,New York,CA,USA,1,1
2023-01-23,Headphones,Wearables,Sony,7,753,20,27095,37,Male,Debit Card,Phoenix,NY,USA,5,9
2023-01-24,Headphones,Electronics,Apple,8,1121,8,26532,19,Male,Debit Card,New York,TX,USA,4,8
2023-01-25,Headphones,Accessories,Samsung,8,1164,22,41466,20,Female,Debit Card,New York,IL,USA,2,3
2023-01-26,Headphones,Accessories,Sony,7,1874,8,39531,47,Male,Credit Card,Chicago,IL,USA,4,9
2023-01-27,Headphones,Accessories,Dell,13,102,20,18257,25,Female,PayPal,Chicago,AZ,USA,5,1
2023-01-28,Phone,Electronics,Lenovo,14,1217,3,42100,57,Male,Cash,Los Angeles,NY,USA,5,4
2023-01-29,Laptop,Electronics,Sony,19,1182,9,12454,38,Female,Debit Card,New York,AZ,USA,1,5
2023-01-30,Tablet,Wearables,Apple,11,839,2,30293,56,Male,Credit Card,Chicago,IL,USA,4,4
2023-01-31,Laptop,Accessories,Sony,2,506,20,38430,60,Female,Cash,Los Angeles,NY,USA,5,4
2023-02-01,Tablet,Wearables,Lenovo,17,117,8,27306,30,Male,Debit Card,New York,IL,USA,3,9
2023-02-02,Phone,Electronics,Dell,6,1617,18,23724,57,Female,Credit Card,Los Angeles,NY,USA,5,5
2023-02-03,Phone,Wearables,Samsung,9,850,15,29736,58,Female,PayPal,Phoenix,IL,USA,5,1
2023-02-04,Smartwatch,Electronics,Samsung,19,1995,15,4311,54,Female,Debit Card,Houston,TX,USA,4,7
2023-02-05,Smartwatch,Accessories,HP,5,1631,16,30868,49,Female,Credit Card,New York,AZ,USA,5,6
2023-02-06,Phone,Accessories,Dell,9,685,17,36574,31,Female,Debit Card,Chicago,NY,USA,2,9
2023-02-07,Phone,Electronics,HP,7,987,9,33219,18,Male,Credit Card,Phoenix,AZ,USA,5,4
2023-02-08,Tablet,Electronics,HP,4,431,20,9137,44,Female,PayPal,Los Angeles,NY,USA,3,6
2023-02-09,Phone,Electronics,Lenovo,18,1112,18,12633,41,Female,PayPal,Houston,NY,USA,5,7
2023-02-10,Laptop,Accessories,Lenovo,18,268,21,47486,39,Female,Credit Card,New York,NY,USA,1,4
2023-02-11,Tablet,Electronics,Lenovo,17,875,14,29371,31,Male,Cash,Houston,IL,USA,4,9
2023-02-12,Phone,Accessories,Apple,4,1795,14,28071,62,Female,PayPal,Phoenix,CA,USA,3,1
2023-02-13,Tablet,Wearables,Dell,16,948,10,41972,25,Female,Debit Card,Houston,IL,USA,2,1
2023-02-14,Tablet,Accessories,Samsung,5,1804,7,49153,44,Male,PayPal,New York,CA,USA,5,3
2023-02-15,Headphones,Wearables,Dell,9,1040,21,1901,20,Male,Debit Card,Phoenix,IL,USA,5,9
2023-02-16,Smartwatch,Accessories,Lenovo,2,305,15,10504,50,Female,PayPal,Los Angeles,CA,USA,2,5
2023-02-17,Tablet,Accessories,Apple,2,1992,9,33813,64,Female,PayPal,New York,NY,USA,5,1
2023-02-18,Tablet,Electronics,Dell,4,620,8,35801,38,Male,Debit Card,Houston,NY,USA,1,5
2023-02-19,Headphones,Accessories,Dell,17,1628,14,35277,49,Female,PayPal,New York,CA,USA,3,6
2023-02-20,Phone,Electronics,HP,19,1117,21,28508,57,Female,Debit Card,Phoenix,CA,USA,5,4
2023-02-21,Tablet,Electronics,Dell,3,1469,29,6401,58,Female,Debit Card,Houston,AZ,USA,2,7
2023-02-22,Headphones,Electronics,HP,5,403,4,4585,62,Male,PayPal,Los Angeles,NY,USA,2,3
2023-02-23,Laptop,Accessories,HP,10,214,19,2715,61,Female,PayPal,Chicago,IL,USA,3,5
2023-02-24,Headphones,Electronics,Sony,6,763,1,49309,58,Female,Debit Card,Los Angeles,AZ,USA,1,6
2023-02-25,Smartwatch,Wearables,Lenovo,3,186,21,16263,49,Male,Credit Card,New York,CA,USA,3,7
2023-02-26,Smartwatch,Wearables,Apple,17,1218,15,2684,41,Male,PayPal,Chicago,IL,USA,5,2
2023-02-27,Phone,Accessories,HP,10,842,17,10854,28,Male,Cash,Phoenix,TX,USA,1,5
2023-02-28,Phone,Electronics,Dell,12,527,15,34543,54,Female,PayPal,Houston,TX,USA,1,7
2023-03-01,Smartwatch,Wearables,HP,1,1821,4,10004,38,Female,Credit Card,Houston,TX,USA,2,7
2023-03-02,Smartwatch,Accessories,HP,18,549,0,4023,35,Male,Credit Card,Phoenix,IL,USA,1,3
2023-03-03,Tablet,Accessories,HP,19,1749,18,9207,28,Female,PayPal,New York,CA,USA,5,8
2023-03-04,Smartwatch,Accessories,Samsung,4,885,9,21667,44,Male,PayPal,Los Angeles,IL,USA,5,1
